timestamp,P_L.9.IS_Light,P_L.9.NE_Light,P_L.9.NW_Light,P_L.9.N_Light,P_L.9.SE_Light,P_L.9.SW_Light,P_L.9.S_Light,P_L.9.W_Light
7/28/15 10:00,0.575196667,0.150823333,0.187616667,0.235663333,0,0.125193333,0,0.177033333
7/28/15 11:00,0.37734,0.01293,0.17332,0.027266667,0,0.118556667,0,0.130816667
7/28/15 12:00,0.34648,0,0.134493333,0,0.098083333,0.057693333,0,0
7/28/15 13:00,0.517763333,0,0.123513333,0,0.057536667,0.010156667,0,0
7/28/15 14:00,0.343983333,0,0.135276667,0,0.07836,0.00504,0,0
7/28/15 15:00,0.3441,0,0.124646667,0,0.06801,0.010116667,0,0
7/28/15 16:00,0.397696667,0.176486667,0.388213333,0.292806667,0.062816667,0.00504,0,0.16191
7/28/15 17:00,0.358426667,0.183826667,0.60684,0.29429,0.08867,0.020306667,0,0.140076667
7/28/15 18:00,0.530536667,0.182966667,0.530193333,0.17871,0.067886667,0.020236667,0,0.110513333
7/28/15 19:00,0.901086667,0.335193333,0.679493333,0.17957,0.073826667,0.015196667,0,0.240073333
7/28/15 20:00,0.728583333,0.269366667,1.019106667,0.32023,0.28458,0.28223,0.138553333,0.42875
7/28/15 21:00,0.802393333,0.22676,1.044303333,0.1082,0.073083333,0.304263333,0,0.485933333
7/28/15 22:00,0.68214,0.324533333,1.30574,0.39625,0.09883,0.34781,0.083906667,0.490853333
7/28/15 23:00,0.53856,0.15559,1.055746667,0.134453333,0.25637,0.3432,0.14203,0.598046667
7/29/15 0:00,0.65207,0.419023333,1.143826667,0.414213333,0.093403333,0.43921,0.098633333,0.70329
7/29/15 1:00,0.795893333,0.355936667,1.13,0.53586,0.078086667,0.015233333,0,0.939066667
7/29/15 2:00,0.843436667,0.57406,0.91434,0.504646667,0.083946667,0.010116667,0,1.048866667
7/29/15 3:00,1.028866667,0.684343333,1.03317,0.611876667,0.08469,0.066563333,0.083596667,0.936526667
7/29/15 4:00,0.70922,0.412656667,0.852306667,0.728596667,0.114416667,0.057226667,0.68675,0.92707
7/29/15 5:00,1.04336,0.53726,0.836213333,0.834103333,0.26684,0.115783333,0.710236667,0.952933333
7/29/15 6:00,1.27394,0.54492,0.993093333,0.70351,0.170503333,0.286763333,0.82918,1.11727
7/29/15 7:00,0.90258,0.324176667,0.99172,0.756753333,0.163856667,0.071406667,0.700586667,0.93778
7/29/15 8:00,0.702456667,0.58558,1.21493,0.814013333,0.193753333,0.015156667,0.713513333,0.88313
7/29/15 9:00,0.552416667,0.51262,0.83637,0.733126667,0.08406,0.005156667,0.53477,0.6452
7/29/15 10:00,0.74442,0.597503333,1.024963333,0.950926667,0.073006667,0.070586667,0.517496667,0.911906667
7/29/15 11:00,0.85531,0.36359,0.89319,0.52461,0.18715,0.2568,0.827696667,0.870043333
7/29/15 12:00,0.80157,0.389726667,1.247226667,0.73086,0.105353333,0.015156667,0.21801,1.135423333
7/29/15 13:00,0.629886667,0.53711,0.748056667,0.875696667,0.087883333,0,0.218166667,0.962816667
7/29/15 14:00,0.843833333,0.172413333,0.708126667,0.402783333,0.078866667,0.09766,0.274573333,0.81207
7/29/15 15:00,0.538753333,0.69297,0.038983333,0.80765,0.083553333,0.01008,0.38558,0.2777
7/29/15 16:00,0.38172,0.434183333,0,0.61102,0.094336667,0.01512,0.03789,0.41121
7/29/15 17:00,0.551293333,0.298633333,0,0.324606667,0.079173333,0.01008,0,0.72859
7/29/15 18:00,0.345313333,0.365626667,0,0.43638,0.08902,0.01523,0,0.205973333
7/29/15 19:00,0.345853333,0.517976667,0,0.517773333,0.084566667,0.010156667,0,0.20621
7/29/15 20:00,0.438043333,0.373626667,0,0.51692,0.083436667,0.00504,0,0.35622
7/29/15 21:00,0.438556667,0,0.065823333,0.326873333,0.07293,0.00504,0,0.213746667
7/29/15 22:00,0.561753333,0.552263333,0.240163333,0.501366667,0.44867,0.19422,0.35152,0.163316667
7/29/15 23:00,0.34536,0.210113333,0.119763333,0.344336667,0.103946667,0.015156667,0,0
7/30/15 0:00,0.346406667,0,0.140006667,0.317616667,0.083786667,0.025273333,0,0
7/30/15 1:00,0.34574,0.186096667,0.103126667,0.540273333,0.089103333,0.01008,0,0
7/30/15 2:00,0.347103333,0,0.14039,0,0.088943333,0.005076667,0,0
7/30/15 3:00,0.343593333,0,0.123353333,0,0.073086667,0.015233333,0,0
7/30/15 4:00,0.344516667,0,0.139833333,0,0.07399,0.02543,0,0
7/30/15 5:00,0.34563,0,0.128083333,0,0.099016667,0.00504,0,0
7/30/15 6:00,0.345423333,0,0.12359,0,0.08769,0,0,0
7/30/15 7:00,0.34542,0,0.128036667,0,0.077693333,0.010153333,0,0
7/30/15 8:00,0.345746667,0,0.13774,0,0.068203333,0.015193333,0,0
7/30/15 9:00,0.529373333,0.333986667,0.314453333,0.338826667,0.341793333,0.206446667,0.29617,0.212576667
7/30/15 10:00,0.34477,0,0,0.011173333,0.099143333,0.010156667,0,0
7/30/15 11:00,0.550353333,0,0.30219,0.107656667,0.06828,0.36414,0.17152,0.22199
7/30/15 12:00,7.262843333,0.73644,0.601096667,0.616016667,0.7977,1.09687,0.765783333,0.363233333
7/30/15 13:00,5.603583333,1.869693333,1.337583333,1.32793,1.02512,1.543836667,1.111966667,1.491756667
7/30/15 14:00,1.66665,1.951056667,1.775186667,2.312926667,2.159956667,2.106183333,1.60027,1.888706667
7/30/15 15:00,2.682733333,2.535513333,2.21864,2.872313333,2.429023333,2.569366667,2.43876,2.416603333
7/30/15 16:00,3.362426667,2.800036667,2.936363333,3.15531,2.739656667,3.08163,3.03773,2.858166667
7/30/15 17:00,1.676403333,2.951206667,3.14363,3.419573333,2.727623333,3.290043333,3.40933,3.277313333
7/30/15 18:00,3.10844,3.438316667,3.404296667,3.518983333,2.971796667,3.415433333,3.518553333,3.330393333
7/30/15 19:00,3.55133,3.33847,3.247263333,3.60363,3.21242,3.38133,3.374816667,3.409963333
7/30/15 20:00,1.95891,3.20953,3.37285,3.587183333,3.207973333,3.425943333,3.390153333,3.602416667
7/30/15 21:00,2.512233333,3.286166667,3.269026667,3.545706667,3.204246667,3.32027,3.37633,3.724686667
7/30/15 22:00,3.298316667,3.366446667,3.39316,3.30547,3.56539,3.467233333,3.22195,3.713716667
7/30/15 23:00,1.992383333,3.28613,3.237576667,3.233833333,3.50804,3.452423333,3.268196667,3.576136667
7/31/15 0:00,3.753156667,3.328396667,3.132773333,3.14176,3.185596667,3.286146667,3.326563333,3.353246667
7/31/15 1:00,2.489843333,3.109346667,3.153986667,3.20374,2.9379,3.251253333,3.250273333,3.224953333
7/31/15 2:00,2.155673333,3.446673333,3.253906667,3.35241,3.258783333,3.323946667,3.38575,3.19926
7/31/15 3:00,4.453363333,3.648206667,3.187733333,3.442853333,3.213316667,3.13941,3.543713333,3.34691
7/31/15 4:00,2.06641,3.536056667,3.07258,3.51516,3.110323333,3.1573,3.393793333,3.450313333
7/31/15 5:00,1.983746667,3.45684,3.06675,3.393206667,2.802773333,3.17286,3.450733333,3.414796667
7/31/15 6:00,3.520496667,2.98375,3.33129,3.37552,2.92843,3.31348,3.673436667,3.617273333
7/31/15 7:00,1.97554,2.99519,3.126953333,3.443663333,2.967456667,3.361526667,3.61269,3.578123333
7/31/15 8:00,2.527893333,3.336786667,3.189533333,3.696563333,2.775353333,3.396136667,3.58301,3.442136667
7/31/15 9:00,2.90954,3.224526667,3.235043333,3.655696667,2.827033333,3.343743333,3.502,3.585506667
7/31/15 10:00,1.81618,3.104886667,3.45981,3.536293333,2.85152,3.42032,3.502933333,3.393133333
7/31/15 11:00,2.336336667,2.90882,3.47691,3.465343333,2.88153,3.27765,3.55962,3.17833
7/31/15 12:00,1.997153333,3.055316667,3.304133333,3.514733333,2.753553333,3.310426667,3.480936667,3.169253333
